timestamp(ms),pid_val,time,err,pwm_period,temp,
"1737669687.959",,,,"10",,
"1737669687.984","1",,,,,
"1737669688.012",,,"11.02",,,
"1737669688.04",,,,"10",,
"1737669688.061","1",,,,,
"1737669688.09",,,"11.12",,,
"1737669688.122",,,,"10",,
"1737669688.143","1",,,,,
"1737669688.172",,,"11.02",,,
"1737669688.204",,,,"10",,
"1737669688.225","1",,,,,
"1737669688.254",,,"11.02",,,
"1737669688.282",,,,"10",,
"1737669688.307","1",,,,,
"1737669688.335",,,"11.07",,,
"1737669688.364",,,,"10",,
"1737669688.389","1",,,,,
"1737669688.417",,,"11.07",,,
"1737669688.446",,,,"10",,
"1737669688.471","1",,,,,
"1737669688.495",,,"11.07",,,
"1737669688.528",,,,"10",,
"1737669688.548","1",,,,,
"1737669688.577",,,"11.07",,,
"1737669688.61",,,,"10",,
"1737669688.631","1",,,,,
"1737669688.659",,,"11.02",,,
"1737669688.688",,,,"10",,
"1737669688.712","1",,,,,
"1737669688.741",,,"11.12",,,
"1737669688.77",,,,"10",,
"1737669688.794","1",,,,,
"1737669688.823",,,"11.07",,,
"1737669688.851",,,,"10",,
"1737669688.876","1",,,,,
"1737669688.905",,,"11.02",,,
"1737669688.933",,,,"10",,
"1737669688.958","1",,,,,
"1737669688.983",,,"11.02",,,
"1737669689.015",,,,"10",,
"1737669689.036","1",,,,,
"1737669689.064",,,"11.12",,,
"1737669689.097",,,,"10",,
"1737669689.118","1",,,,,
"1737669689.146",,,"11.02",,,
"1737669689.175",,,,"10",,
"1737669689.2","1",,,,,
"1737669689.229",,,"11.02",,,
"1737669689.257",,,,"10",,
"1737669689.282","1",,,,,
"1737669689.31",,,"11.07",,,
"1737669689.339",,,,"10",,
"1737669689.363","1",,,,,
"1737669689.392",,,"11.02",,,
"1737669689.421",,,,"10",,
"1737669689.441","1",,,,,
"1737669689.47",,,"11.07",,,
"1737669689.503",,,,"10",,
"1737669689.523","1",,,,,
"1737669689.552",,,"11.12",,,
"1737669689.585",,,,"10",,
"1737669689.605","1",,,,,
"1737669689.634",,,"11.12",,,
"1737669689.662",,,,"10",,
"1737669689.687","1",,,,,
"1737669689.716",,,"11.07",,,
"1737669689.744",,,,"10",,
"1737669689.769","1",,,,,
"1737669689.798",,,"11.12",,,
"1737669689.826",,,,"10",,
"1737669689.851","1",,,,,
"1737669689.875",,,"11.12",,,
"1737669689.908",,,,"10",,
"1737669689.929","1",,,,,
"1737669689.958",,,"11.02",,,
"1737669689.99",,,,"10",,
"1737669690.011","1",,,,,
"1737669690.04",,,"11.07",,,
"1737669690.072",,,,"10",,
"1737669690.092","1",,,,,
"1737669690.121",,,"11.12",,,
"1737669690.15",,,,"10",,
"1737669690.174","1",,,,,
"1737669690.203",,,"11.12",,,
"1737669690.232",,,,"10",,
"1737669690.256","1",,,,,
"1737669690.285",,,"11.07",,,
"1737669690.314",,,,"10",,
